"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)",
"0400000US37","North Carolina","69904","346",
"0500000US37001","Alamance County, North Carolina","64445","2226",
"0500000US37003","Alexander County, North Carolina","65268","5441",
"0500000US37005","Alleghany County, North Carolina","44272","3954",
"0500000US37007","Anson County, North Carolina","44245","3895",
"0500000US37009","Ashe County, North Carolina","50827","3707",
"0500000US37011","Avery County, North Carolina","57657","4054",
"0500000US37013","Beaufort County, North Carolina","57997","3520",
"0500000US37015","Bertie County, North Carolina","45931","6859",
"0500000US37017","Bladen County, North Carolina","44528","4772",
"0500000US37019","Brunswick County, North Carolina","74034","2420",
"0500000US37021","Buncombe County, North Carolina","70578","1846",
"0500000US37023","Burke County, North Carolina","55684","3343",
"0500000US37025","Cabarrus County, North Carolina","86084","2770",
"0500000US37027","Caldwell County, North Carolina","55401","2012",
"0500000US37029","Camden County, North Carolina","87781","7877",
"0500000US37031","Carteret County, North Carolina","70235","2152",
"0500000US37033","Caswell County, North Carolina","59407","6742",
"0500000US37035","Catawba County, North Carolina","64544","1989",
"0500000US37037","Chatham County, North Carolina","88534","5894",
"0500000US37039","Cherokee County, North Carolina","51496","3907",
"0500000US37041","Chowan County, North Carolina","56982","9074",
"0500000US37043","Clay County, North Carolina","53645","9995",
"0500000US37045","Cleveland County, North Carolina","55769","2864",
"0500000US37047","Columbus County, North Carolina","48184","5406",
"0500000US37049","Craven County, North Carolina","64635","3733",
"0500000US37051","Cumberland County, North Carolina","58780","855",
"0500000US37053","Currituck County, North Carolina","91548","8181",
"0500000US37055","Dare County, North Carolina","81214","5786",
"0500000US37057","Davidson County, North Carolina","62426","2147",
"0500000US37059","Davie County, North Carolina","73234","3342",
"0500000US37061","Duplin County, North Carolina","51880","3505",
"0500000US37063","Durham County, North Carolina","79501","2416",
"0500000US37065","Edgecombe County, North Carolina","48480","3492",
"0500000US37067","Forsyth County, North Carolina","65541","1422",
"0500000US37069","Franklin County, North Carolina","71386","3973",
"0500000US37071","Gaston County, North Carolina","65472","1905",
"0500000US37073","Gates County, North Carolina","61612","6651",
"0500000US37075","Graham County, North Carolina","49038","8920",
"0500000US37077","Granville County, North Carolina","70975","3834",
"0500000US37079","Greene County, North Carolina","50904","4679",
"0500000US37081","Guilford County, North Carolina","66027","1584",
"0500000US37083","Halifax County, North Carolina","45071","3222",
"0500000US37085","Harnett County, North Carolina","69012","3266",
"0500000US37087","Haywood County, North Carolina","61001","3705",
"0500000US37089","Henderson County, North Carolina","67623","3013",
"0500000US37091","Hertford County, North Carolina","47472","4340",
"0500000US37093","Hoke County, North Carolina","60095","3320",
"0500000US37095","Hyde County, North Carolina","47338","8581",
"0500000US37097","Iredell County, North Carolina","78678","2411",
"0500000US37099","Jackson County, North Carolina","53479","4388",
"0500000US37101","Johnston County, North Carolina","79838","2522",
"0500000US37103","Jones County, North Carolina","55659","5162",
"0500000US37105","Lee County, North Carolina","63060","2807",
"0500000US37107","Lenoir County, North Carolina","44795","2264",
"0500000US37109","Lincoln County, North Carolina","78490","3290",
"0500000US37111","McDowell County, North Carolina","55527","3603",
"0500000US37113","Macon County, North Carolina","53298","3676",
"0500000US37115","Madison County, North Carolina","58628","5976",
"0500000US37117","Martin County, North Carolina","46793","3420",
"0500000US37119","Mecklenburg County, North Carolina","83765","1127",
"0500000US37121","Mitchell County, North Carolina","58089","5374",
"0500000US37123","Montgomery County, North Carolina","55849","3821",
"0500000US37125","Moore County, North Carolina","82837","3212",
"0500000US37127","Nash County, North Carolina","60704","2284",
"0500000US37129","New Hanover County, North Carolina","72892","1510",
"0500000US37131","Northampton County, North Carolina","47935","3311",
"0500000US37133","Onslow County, North Carolina","64568","1873",
"0500000US37135","Orange County, North Carolina","88553","2184",
"0500000US37137","Pamlico County, North Carolina","61624","4808",
"0500000US37139","Pasquotank County, North Carolina","63912","5566",
"0500000US37141","Pender County, North Carolina","76838","3877",
"0500000US37143","Perquimans County, North Carolina","61224","5469",
"0500000US37145","Person County, North Carolina","64927","4000",
"0500000US37147","Pitt County, North Carolina","58851","2190",
"0500000US37149","Polk County, North Carolina","61005","5732",
"0500000US37151","Randolph County, North Carolina","59047","2415",
"0500000US37153","Richmond County, North Carolina","43626","5421",
"0500000US37155","Robeson County, North Carolina","40318","1300",
"0500000US37157","Rockingham County, North Carolina","55796","1938",
"0500000US37159","Rowan County, North Carolina","63196","2324",
"0500000US37161","Rutherford County, North Carolina","49771","2569",
"0500000US37163","Sampson County, North Carolina","53159","5005",
"0500000US37165","Scotland County, North Carolina","43500","2777",
"0500000US37167","Stanly County, North Carolina","61631","4099",
"0500000US37169","Stokes County, North Carolina","60039","2412",
"0500000US37171","Surry County, North Carolina","56095","3150",
"0500000US37173","Swain County, North Carolina","55429","6686",
"0500000US37175","Transylvania County, North Carolina","64523","5307",
"0500000US37177","Tyrrell County, North Carolina","43952","19342",
"0500000US37179","Union County, North Carolina","99243","2455",
"0500000US37181","Vance County, North Carolina","46943","3266",
"0500000US37183","Wake County, North Carolina","101763","1289",
"0500000US37185","Warren County, North Carolina","45279","3271",
"0500000US37187","Washington County, North Carolina","41750","7274",
"0500000US37189","Watauga County, North Carolina","51367","3383",
"0500000US37191","Wayne County, North Carolina","58082","2512",
"0500000US37193","Wilkes County, North Carolina","50438","3044",
"0500000US37195","Wilson County, North Carolina","51381","1884",
"0500000US37197","Yadkin County, North Carolina","60321","3020",
"0500000US37199","Yancey County, North Carolina","54961","5646",
